"AppHash: 913fa95829ba3f77c0673f0af5c6afaeb6e6a2bdd0e98c186df65f1d27b9dc1f","SuspectedChineseGroupCalypsoAPTExploitingVulnerableMicrosoftExchangeServers","https://www.recordedfuture.com/chinese-group-calypso-exploiting-microsoft-exchange/ Calypso-IOCs.txt"
"AppHash: 9bdb9b9dfb20827a6ffe6bee671d8a04","SuspectedChineseGroupCalypsoAPTExploitingVulnerableMicrosoftExchangeServers","https://www.recordedfuture.com/chinese-group-calypso-exploiting-microsoft-exchange/ Calypso-IOCs.txt"
"AppHash: 5d803a47d6bb7f68d4e735262bb7253def6aaab03122b05fec468865a1babe32","SuspectedChineseGroupCalypsoAPTExploitingVulnerableMicrosoftExchangeServers","https://www.recordedfuture.com/chinese-group-calypso-exploiting-microsoft-exchange/ Calypso-IOCs.txt"
"AppHash: 30dd3076ec9abb13c15053234c436406b88fb2b9","SuspectedChineseGroupCalypsoAPTExploitingVulnerableMicrosoftExchangeServers","https://www.recordedfuture.com/chinese-group-calypso-exploiting-microsoft-exchange/ Calypso-IOCs.txt"
"AppHash: 4f0ea31a363cfe0d2bbb4a0b4c5d558a87d8683e","SuspectedChineseGroupCalypsoAPTExploitingVulnerableMicrosoftExchangeServers","https://www.recordedfuture.com/chinese-group-calypso-exploiting-microsoft-exchange/ Calypso-IOCs.txt"
"AppHash: b0e90d483ac14f1929de6ed8e8af878a","SuspectedChineseGroupCalypsoAPTExploitingVulnerableMicrosoftExchangeServers","https://www.recordedfuture.com/chinese-group-calypso-exploiting-microsoft-exchange/ Calypso-IOCs.txt"
"AppHash: ab678bbd30328e20faed53ead07c2f29646eb8042402305264388543319e949c","SuspectedChineseGroupCalypsoAPTExploitingVulnerableMicrosoftExchangeServers","https://www.recordedfuture.com/chinese-group-calypso-exploiting-microsoft-exchange/ Calypso-IOCs.txt"
"AppHash: f32866258b67f041dc7858a59ea8afcd1297579ef50d4ebcec8775c816eb2da9","SuspectedChineseGroupCalypsoAPTExploitingVulnerableMicrosoftExchangeServers","https://www.recordedfuture.com/chinese-group-calypso-exploiting-microsoft-exchange/ Calypso-IOCs.txt"
"AppHash: 8bbed9877c4163154f5cf3ca5e75b1200fae8f40","SuspectedChineseGroupCalypsoAPTExploitingVulnerableMicrosoftExchangeServers","https://www.recordedfuture.com/chinese-group-calypso-exploiting-microsoft-exchange/ Calypso-IOCs.txt"
"AppHash: 5a8fc748a8640553ff6fb161928eb1fe","SuspectedChineseGroupCalypsoAPTExploitingVulnerableMicrosoftExchangeServers","https://www.recordedfuture.com/chinese-group-calypso-exploiting-microsoft-exchange/ Calypso-IOCs.txt"
"AppHash: 7765a8cc852c4aa0adfab75f6825fffd","SuspectedChineseGroupCalypsoAPTExploitingVulnerableMicrosoftExchangeServers","https://www.recordedfuture.com/chinese-group-calypso-exploiting-microsoft-exchange/ Calypso-IOCs.txt"
